,price,returns,volatility,spread,depth,volume,volume_imbalance,mid_price,bid_price_0,ask_price_0,bid_qty_0,ask_qty_0,price_zscore_10,price_zscore_30,volatility_10,volatility_30,volatility_60,momentum_10,momentum_30,cum_bid_qty,cum_ask_qty
2025-04-15 21:50:11.064081,100.04483570765058,0.0004299367558504744,0.0005057393160268563,0.020359924812773177,1528.993051654543,111.58661845987372,-0.01365507052627408,100.04483570765058,101.29427998965261,106.67084280328274,1252.125594998935,1362.9277803237553,0.03486857975969833,0.4938369910015177,0.006049576601353366,0.014043613343044242,0.03191159256094584,0.00045341369283355377,0.00048417406645175786,6386.38401500136,7488.604299966324
2025-04-15 21:51:11.064081,100.05792836014467,0.00014149123822895175,0.0004818909092049135,0.020619158332134572,1462.1085524871867,81.52112640095807,-0.015425361150634653,100.05792836014467,97.9634474946293,91.06505437103695,1800.5656681365494,1296.6836905067562,-1.4720927653005969,-0.38358209116500674,0.0044681470102165225,0.016049843522326926,0.031073086376644896,0.00029634940225754266,0.00026498444269570665,7944.2469266821745,6358.003202996143
2025-04-15 21:52:11.064081,100.11034313248918,0.000510022601030127,0.0005844442060322341,0.025984756470973345,1462.2013090204807,94.15771925560037,0.38739338695301484,100.11034313248918,98.99231113830825,104.2610296457653,1535.101087140935,1627.1653663273075,1.4985948627752368,0.19956602532283463,0.004261132445443774,0.01677175473569415,0.026425159604986197,0.0003769866286619356,0.00037643781268045123,7623.641286458482,8271.433314573447
2025-04-15 21:53:11.064081,100.2066007218787,0.0009073198352343881,0.0005128929904792534,0.026679716047468608,1529.497033001441,127.3790355115245,-0.27415275252475657,100.2066007218787,95.64788156804369,107.10872050782201,1625.738660273122,1852.545886754219,0.12753423078037648,0.5830464860014651,0.003970622582870215,0.015849417781128528,0.024827399280510157,0.0005728181695426927,0.00048318345700029794,8276.735197048634,9583.994183561637
2025-04-15 21:54:11.064081,100.21491018515877,8.105446879165879e-05,0.000498041728776746,0.018945559056064043,1490.0831155866165,109.11714321488718,0.10694695953140837,100.21491018515877,99.46278499311951,97.41548722506946,1562.013600440014,1463.950526845233,0.7379551833746443,-0.5711006588506699,0.004758207941531994,0.012480946404380692,0.025001821004327077,0.0004253161495400078,0.00041856353062035874,7835.743925517162,7096.450508330616
2025-04-15 21:55:11.064081,100.22322116013996,7.463129530692758e-05,0.00048711326817290354,0.027897503478848187,1555.893886690457,137.55160756418547,0.28752786362563987,100.22322116013996,107.18354708265366,108.72839106674583,1917.6073074746814,1401.973254571564,1.2420477470640097,-0.0827827797216019,0.005619862671978122,0.013927277134868913,0.03467199683172094,0.0003686906825622912,0.0003755722166928794,10027.974416184083,6581.682598298733
2025-04-15 21:56:11.064081,100.32240270200575,0.0009573804953218448,0.0004879959429201739,0.018808873928013663,1557.634308704298,110.6109677707181,0.4718957155544546,100.32240270200575,98.07367218666313,96.86901203994039,1531.3141062103243,1394.4643727359526,0.35375072025028387,-0.06448715080167933,0.005877261206985277,0.015517891100853895,0.03069962409679093,0.0004315575366148977,0.0004658797751926556,6813.972223845906,7246.653170391643
2025-04-15 21:57:11.064081,100.38096263051894,0.0005554616908909815,0.0005007535165328795,0.025350658107883006,1545.0312449195806,97.45013389964494,-0.08699123509276173,100.38096263051894,105.21442700215658,102.60725342542588,1513.7557072824989,1708.280687348606,-0.5988926664385577,0.8218841693657774,0.0047314858021192735,0.013592065955673966,0.026620850948112368,0.0004742365577975532,0.00048092082036670623,7494.496877741574,8099.841301638768
2025-04-15 21:58:11.064081,100.37747567764978,-3.5809579842284405e-05,0.0005027995483155314,0.024889799717164884,1697.4595886655372,85.47271081000304,0.09604663082380024,100.37747567764978,96.31808170122883,98.8506674984525,1801.1867575323683,1526.4317093108953,1.011156893933541,-1.0372884950680865,0.004869169505494126,0.015730275339247948,0.02582297228317223,0.0004577876612799208,0.00042195809511958354,9583.876527484204,7045.945423470814
2025-04-15 21:59:11.064081,100.42478157657467,0.0004554116879182083,0.0004885825213826622,0.028887403540026217,1608.0258078598977,96.32733857838257,0.11815133549418272,100.42478157657467,104.2202973543282,98.89692164719376,1309.5348605300908,1505.803699030108,0.0007689957322046866,-0.04814606429666199,0.005896204392997145,0.01731673766813586,0.03521866933148491,0.00044490314198976523,0.00041042247689283156,6980.6486262733815,6895.2877871808705
2025-04-15 22:00:11.064081,100.42159722260028,-3.311640833783699e-05,0.0004931711938370025,0.026412542538132792,1516.286151506117,95.2543211737255,0.0386236364680405,100.42159722260028,100.41683988911831,97.33475631144665,1529.8519482955187,1728.0381404824743,0.6435182579689693,1.8824592238193971,0.004580046092370849,0.01572269452362732,0.03130527095805572,0.0004094192798120462,0.0003794613634799654,8056.071668796859,7351.525994822551
2025-04-15 22:01:11.064081,100.418296879181,-3.516292699103831e-05,0.000533607114380865,0.026956431864483158,1576.2171811517503,75.8200413234143,-0.020682466902962555,100.418296879181,102.17203715823442,103.939765361331,1925.3160117909601,1574.3806757959721,-2.058294633311265,1.1688267853974632,0.004281187817999477,0.017345790785872294,0.03222057187094253,0.00037329735299886275,0.0003485280494770217,9307.748537389618,8333.757878490254
2025-04-15 22:02:11.064081,100.45052925816667,0.0003335182631173808,0.0005346126240662758,0.021659166809815927,1373.2807245127287,103.68352358649358,0.08034377179352242,100.45052925816667,100.47525542040937,104.72534959683304,1765.6881559372703,1429.957020484256,0.4398042592086066,1.486185052378315,0.0059931241383896355,0.013213645766302419,0.027956755572812592,0.000366354895328302,0.00034927976558404167,7559.887778735442,7867.229565086488
2025-04-15 22:03:11.064081,100.37452435742077,-0.000748491551267334,0.0005063008494983719,0.02530822159375359,1523.9103844714705,99.62102854063372,-0.46478079763493996,100.37452435742077,103.58065613287867,100.06473737720722,1789.9593019636222,1549.0530790533978,-0.6726037639091825,0.022849910319542695,0.005359197825435854,0.017069069564341267,0.025055971715714633,0.00025092250911926947,0.00026627074007889957,8785.618146947803,7542.342378230837
2025-04-15 22:04:11.064081,100.3080303587952,-0.0006671330440842999,0.0004664685068190816,0.019159935044743687,1523.614259283275,123.08153615665141,0.1337451803046767,100.3080303587952,87.42193051499162,93.49647106651274,1883.1498929108789,1630.5678832622984,1.5899974616227313,0.32195512981210433,0.005536829886376538,0.018070834925026705,0.035458168010621016,0.00010205992264425243,0.00021265892098213597,9390.833338809056,8058.088659002177
2025-04-15 22:05:11.064081,100.2998909875902,-7.495661366884456e-05,0.0005134625789159761,0.02748701221408167,1713.8739715514498,117.81113198768607,0.024113954043190677,100.2998909875902,93.16649273410782,102.33604295568864,1363.6154239776047,1327.220490430793,0.6372907060188994,0.9113179058629496,0.004712377034949879,0.013197406150561706,0.03614534389064571,8.279740555421482e-05,0.00018815385821161466,6215.583478750058,6710.836629546383
2025-04-15 22:06:11.064081,100.26915754030853,-0.0003043659560987163,0.0005388570610402757,0.0215767208395628,1671.3936276718962,118.65161112170748,-0.04334543129780505,100.26915754030853,102.34767987575692,102.39740494637265,1851.8991744237005,1249.3800603401564,0.24349989689974982,1.526962576356249,0.005284393598226679,0.017467370984970126,0.025606958155073346,4.356099297954042e-05,0.000159831382356174,9293.67867776602,7370.001458149552
